ccodealp,ccode,cname,ccodecow,wdi_dgovhexp,wdi_lifexp,wdi_pop,continent,vdem_corr,wdi_popurb,wdi_poprul,wvs_pmi12,wvs_pmi4,wvs_auton,wdi_litrad,wdi_chexppgdp,undp_hdi,wdi_hwf,wdi_hwfr,wdi_hwfu,who_let,ht_colonial,mad_gdppc1600,mad_gdppc1700,mad_gdppc1900,bti_ds,sgi_qd,vdem_libdem,wdi_gdpcapcon2015,wdi_gdpcappppcon2021,wdi_gdppppcon2021,wdi_incsh10h,gd_ptsh,gd_ptsa,wbgi_pve
IND,356,India,750,1.2928915,71.698,1425423212,Asia,0.688,34.7555673994206,65.2444326005794,1.9162904981346691,1.6989042319942218,0.7691918007451052,76.3199996948242,3.3058846,0.676,85.8252809853407,81.3480083712657,93.8292584569544,67.30780612,5,1264,1162,955,6.1,NA,0.293,2098.211244761504,8594.391904998789,12250645714410.174,22.1,4,4,-0.7535037
IDN,360,Indonesia,850,1.3944068,70.925,278830529,Asia,0.738,57.4934704226599,42.5065295773401,NA,NA,NA,96,2.69394851,0.726,79.3348726179178,75.3454687005412,82.2315864849441,68.26167935,1,NA,NA,1151,6.3,NA,0.393,4024.912252883909,13334.265394763685,3718000273848.352,29,3,4,-0.7624666
IRN,364,Iran (Islamic Republic of),630,2.62993145,76.799,89524246,Asia,0.768,76.3342208862305,23.665779113769503,2.1108815426997247,1.8417508417508417,0.6220238095238095,88.5939994931719,5.34889174,0.793,NA,NA,NA,74.71077692,0,NA,NA,NA,2.783333333333333,NA,0.078,5465.314475394131,16377.961064536818,1466224615320.016,26.8,4,5,-1.1448403
IRQ,368,Iraq,645,2.18493223,72.037,44070551,Asia,0.867,69.8682861328125,30.1317138671875,NA,NA,NA,84.0588635813164,4.29332495,0.695,97.3916070385136,96.8707529892422,97.6007113940011,71.46632369,5,NA,NA,NA,4.4,NA,0.218,4412.997331465116,13433.397716698651,592017239177.0515,24.2,3,4,-2.2294281
IRL,372,Ireland,205,4.73404694,82.50975609756098,5212836,Europe,0.032,63.8920250215059,36.1079749784941,NA,NA,NA,NA,6.11978531,0.947,NA,NA,NA,81.60162902,0,NA,NA,NA,NA,8.270833333333332,0.826,97793.53666716968,123219.0760594944,642320835569.6705,24.5,NA,1,0.8053599
ISR,376,Israel,666,4.87933254,82.70000000000002,9557500,Asia,0.118,91.4979834273327,8.502016572667301,NA,NA,NA,NA,7.34161806,0.921,NA,NA,NA,81.74464677,0,NA,NA,NA,NA,6.5,0.653,42516.388809027376,48098.18723557897,459698424504.046,26.6,4,4,-0.9049968
ITA,380,Italy,325,6.72013378,82.70000000000002,59013667,Europe,0.155,69.4839779766539,30.516022023346096,NA,NA,NA,99.3499984741211,9.02753067,0.905,NA,NA,NA,82.19747411,0,NA,NA,3264,NA,7.233333333333333,0.766,33891.886652621615,52333.32742706041,3088381557782.51,25.3,1,2,0.4124684
CIV,384,Côte d'Ivoire,437,1.33865738,61.562,30395002,Africa,0.59,52.8492549676673,47.1507450323327,NA,NA,NA,50,3.6424129,0.565,21.8149594173187,11.1403245687483,31.4107989889978,63.5174083,6,NA,NA,NA,4.883333333333334,NA,0.245,2227.098452469841,6272.263957594149,190645475535.60208,27.8,3,2,-0.7163174999999999
JAM,388,Jamaica,51,5.92761612,71.481,2839144,Americas,0.16,57.9879906034775,42.0120093965225,NA,NA,NA,NA,7.77706337,0.718,70.3624565398389,69.455283952613,71.0465896485971,70.1439437,5,NA,NA,926,8.05,NA,0.699,5965.461274648727,11096.637708532093,31504952370.35264,29.6,NA,3,0.4525342
JPN,392,Japan,740,9.82434177,83.99634146341464,125124989,Asia,0.062,91.9776532428406,8.022346757159397,2.116931711880262,1.8601583113456464,1.2039127163280663,NA,11.42183685,0.921,NA,NA,NA,84.46067178,0,1061,1073,2123.25060819,NA,5.5375,0.738,36238.329489530246,44972.34383622006,5627164027811.253,23.9,1,2,1.2758787
KAZ,398,Kazakhstan,705,2.30152369,73.503,20034609,Asia,0.678,61.444157327248,38.555842672752,NA,NA,NA,NA,3.74026752,0.831,99.0098274702943,98.7255509022698,99.2196040471342,70.27511981,0,NA,NA,NA,3.7333333333333334,NA,0.138,11058.348241340698,33506.26148932374,671284847990.3588,24.8,4,4,-0.5795614
JOR,400,Jordan,663,2.49221253,77.088,11256263,Asia,0.483,92.4048379066163,7.595162093383706,NA,NA,NA,94.8499984741211,6.82820034,0.751,NA,NA,NA,75.64973596,5,NA,NA,NA,4.033333333333333,NA,0.244,3909.80228869045,9266.575382513363,104307009614.89604,NA,2,2,-0.31146219999999997
KEN,404,Kenya,501,2.02182531,63.549,54252461,Africa,0.536,31.4307820066946,68.5692179933054,2.072891072891073,1.847210994341148,0.5276532137518685,NA,4.32603645,0.626,47.8628220257221,40.7879053057086,65.1824864792161,66.76221995,5,NA,NA,NA,5.85,NA,0.449,1747.5319880442844,5491.693782802457,297937902775.43274,30.1,3,3,-0.962236
PRK,408,Korea (the Democratic People's Republic of),731,NA,73.641,26328845,Asia,0.663,63.2274365906829,36.7725634093171,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.6431485,0,NA,NA,NA,2.55,NA,0.014,NA,NA,NA,NA,5,5,0.2686785
KOR,410,Korea (the Republic of),732,5.92036963,82.68048780487806,51672569,Asia,0.125,81.1624941626873,18.837505837312705,NA,NA,NA,NA,9.43414211,0.928,NA,NA,NA,83.79982334,0,NA,NA,NA,8.55,6.762499999999999,0.729,35809.01381051443,53228.60356553654,2750458690513.833,24.6,1,1,0.8556729999999999
KWT,414,Kuwait,690,3.72393417,80.58780487804879,4589643,Asia,0.314,100,0,NA,NA,NA,96.4599990844727,4.26875782,0.845,NA,NA,NA,78.95211671,5,NA,NA,NA,4.533333333333333,NA,0.289,26579.832164687632,51379.88331941186,235815321817.75543,NA,2,2,0.1041664
KGZ,417,Kyrgyzstan,703,2.64341927,72.04878048780488,6975220,Asia,0.822,34.7003053497743,65.2996946502257,1.7055190755083014,1.7129401954946866,0.6641815937455473,NA,4.92258883,0.717,95.8260183648902,95.4046682902367,96.5294440334154,72.18500345,0,NA,NA,NA,4.566666666666666,NA,0.233,1212.1781272176838,6139.777888250061,42826301521.67959,22,3,3,-0.422477
LAO,418,Lao People's Democratic Republic (the),812,0.62643725,68.715,7559007,Asia,0.742,38.0682382805397,61.9317617194603,NA,NA,NA,75.6399993896484,2.01825476,0.614,61.2671320851933,53.4411707267436,74.25932654374,68.23189407,6,NA,NA,NA,3.083333333333333,NA,0.103,2589.0501519162817,8183.032864726526,61855602705.69786,NA,NA,2,0.7033051
LBN,422,Lebanon,660,1.96468723,78.003,5744489,Asia,0.775,90.206313713022,9.793686286978,NA,NA,NA,92.0144800114203,5.73500204,0.755,NA,NA,NA,74.34207035,6,NA,NA,NA,5.25,NA,0.255,5909.036515550277,11474.750584555835,65916578510.72458,25.1,3,2,-1.3425754
LSO,426,Lesotho,570,6.40886402,56.812,2286110,Africa,0.517,41.6703965165322,58.3296034834678,NA,NA,NA,90.4499969482422,12.65127754,0.547,16.9869496719308,14.2249291782237,23.4491886026217,51.47907482,5,NA,NA,NA,5.8,NA,0.514,967.5192859832496,2577.5454412776908,5892552408.759341,NA,NA,3,-0.128161
LVA,428,Latvia,367,4.93344879,74.27804878048782,1879383,Europe,0.087,68.2570218109034,31.742978189096604,NA,1.8942575310165104,NA,NA,7.62168407,0.881,NA,NA,NA,73.20251724,0,NA,NA,NA,8.95,8,0.743,16421.37485959996,37718.70979583672,70887901972.229,25.8,NA,1,0.7798655999999999
LBR,430,Liberia,450,1.29002357,61.934,5373294,Africa,0.865,54.4591057083,45.5408942917,NA,NA,NA,NA,13.47386169,0.508,3.44018908120244,0.956270005221299,5.63716879846561,63.45730846,0,NA,NA,1401.090405904059,6.25,NA,0.407,638.0051838582892,1578.9983706917492,8484422471.247752,NA,NA,NA,-0.2807974
LBY,434,Libya,620,3.1484828,74.462,7223805,Africa,0.784,87.8486088593786,12.1513911406214,1.709732988802756,1.6362862010221466,0.38516746411483255,NA,4.65005827,0.741,95.59,NA,NA,72.17844009,3,NA,NA,NA,2.05,NA,0.108,7002.681892963579,11450.059855292844,82712999632.96373,NA,5,4,-2.0039724999999997
LIE,438,Liechtenstein,223,NA,84.1219512195122,39493,Europe,NA,14.6923070071538,85.3076929928462,NA,NA,NA,NA,NA,0.936,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5871411
LTU,440,Lithuania,368,4.73151922,75.64390243902439,2831639,Europe,0.103,68.2866452426813,31.713354757318697,NA,NA,NA,NA,7.24335003,0.888,NA,NA,NA,74.13314711,0,NA,NA,NA,9.5,8.0375,0.741,18884.515253169822,46651.21458102469,132099398604.99815,28.7,NA,1,0.963939
LUX,442,Luxembourg,212,4.83443642,82.94634146341465,653103,Europe,0.027,94.7605400940185,5.239459905981505,NA,NA,NA,NA,5.55154753,0.922,NA,NA,NA,82.78028566,0,NA,NA,NA,NA,7.616666666666666,0.792,107467.18708263726,132570.82646341893,86582404475.7383,25.6,NA,NA,1.0244114
MDG,450,Madagascar,580,0.93657237,63.068,30437261,Africa,0.827,31.5397813465886,68.4602186534114,NA,NA,NA,74.6900024414062,3.25023246,0.483,23.435630286140398,15.2069818876143,35.8394676394679,62.9342555,6,NA,NA,NA,4.516666666666667,NA,0.254,438.5162633531886,1602.713683523368,48782214693.67215,29.6,NA,2,-0.5250260999999999
MWI,454,Malawi,553,0.87761509,66.037,20568728,Africa,0.696,16.7146031979436,83.2853968020564,NA,NA,NA,70.1500015258789,6.50023508,0.513,15.3075884595618,12.5460076066068,27.9051889970967,62.48652597,5,NA,NA,NA,6.65,NA,0.512,560.6357597149408,1659.9593382516805,34143252119.55881,31,2,2,-0.166924
MYS,458,Malaysia,820,1.97598696,75.444,34695493,Asia,0.365,75.9741357073003,24.02586429269969,NA,NA,NA,95.7699966430664,3.90591931,0.81,NA,NA,NA,72.8101035,5,NA,NA,817.743016759777,5.4,NA,0.317,11191.65117569426,32129.221782011253,1114739189433.219,30.9,3,3,0.2483001
MDV,462,Maldives,781,7.54362154,80.76,524106,Asia,0.47,41.0641769690663,58.9358230309337,1.9085427135678392,1.7147147147147148,0.28328611898017,98.2099990844727,9.65276241,0.764,95.8390968939352,94.9742030782473,97.0784688069826,75.39664085,5,NA,NA,NA,NA,NA,0.431,10939.996327173774,21357.811251115312,11193757023.577042,23.3,2,2,0.27215249999999996
MLI,466,Mali,432,1.43022907,60.035,23072640,Africa,0.828,30.4015705681899,69.5984294318101,NA,NA,NA,NA,3.67284775,0.417,17.3008693521217,9.12037481487313,27.1244114883691,61.67398609,6,NA,NA,NA,3.4,NA,0.149,877.8178424329341,2813.8109596284307,64922047299.56132,28.3,5,5,-2.4680844
MLT,470,Malta,338,6.38188028,82.4487804878049,531113,Europe,0.194,95.6003155132879,4.399684486712104,NA,NA,NA,NA,9.52376747,0.917,NA,NA,NA,81.81193837,0,NA,NA,NA,NA,5.804166666666666,0.631,31430.618707023565,56841.89336873106,30189468512.74686,27.7,NA,2,0.9316852
MRT,478,Mauritania,435,1.75979567,68.281,4875637,Africa,0.833,58.8120996197226,41.1879003802774,NA,NA,NA,59.5299987792969,4.48389912,0.562,41.7524092863286,19.3926873811097,58.6733327319298,68.86843813,6,NA,NA,NA,4.416666666666666,NA,0.192,1576.7562410730804,6053.261781555093,29513507112.83593,24.6,3,3,-0.2992865
MUS,480,Mauritius,590,2.74634552,73.51463414634146,1262523,Africa,0.489,39.0000125885784,60.9999874114216,NA,NA,NA,94.3265215627,5.82381678,0.794,NA,NA,NA,73.41967032,5,NA,NA,NA,7.95,NA,0.373,10688.438311272164,25085.989195945134,31671638337.632244,NA,NA,NA,0.8607357
MEX,484,Mexico,70,2.96899462,73.973,128613117,Americas,0.549,79.199683215791,20.800316784209,NA,NA,NA,95.8486603965766,5.72145176,0.783,97.7184335122064,98.1195127337978,97.6261783710331,70.83258685,2,799,1476,1822,5.7,5.125,0.334,10013.247923614295,21391.857369242654,2751273454677.7183,34.4,4,4,-0.5890439
MCO,492,Monaco,221,2.94431448,85.746,38931,Europe,NA,100,0,NA,NA,NA,NA,3.39779735,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,214359.60582598107,NA,NA,NA,NA,NA,1.3786309
MNG,496,Mongolia,712,3.11989594,71.90073170731708,3433748,Asia,0.736,69.783805847168,30.216194152832003,2.157229957114724,1.8110756166196609,0.8423284209736708,98.7300033569336,8.85170174,0.742,86.3769386578343,81.1526072848901,88.7317860252058,70.09795294,0,NA,NA,NA,7.25,NA,0.458,4205.885545135513,15310.434946916346,52572175378.10411,24.6,NA,2,0.6315012999999999
MDA,498,Moldova (the Republic of),359,4.5151453,71.546,2528654,Europe,0.218,42.4048843383789,57.5951156616211,NA,NA,NA,NA,6.96505404,0.784,NA,NA,NA,69.55780877,0,NA,NA,NA,6.7,NA,0.652,3611.954847332861,15358.015354886666,38835106959.19559,22.5,NA,2,-0.2465629
MNE,499,Montenegro,341,6.87829256,76.1878048780488,623591,Europe,0.511,65.4012965440866,34.598703455913395,NA,1.9008457872043576,NA,NA,10.92241859,0.853,99.2417456832958,99.27728559105,99.225144340936,74.70975149,0,NA,NA,NA,7.1,NA,0.415,7773.60323941511,25583.36756635869,15953557764.073183,24.7,NA,2,0.0236518
MAR,504,Morocco,600,2.3239212,75.161,37329064,Africa,0.643,62.5118468550703,37.4881531449297,1.9418702611625949,1.6540722082283794,0.5428156748911466,NA,5.68049145,0.704,NA,NA,NA,72.61868352,6,NA,NA,NA,3.5166666666666666,NA,0.246,3334.91162109375,8690.4482421875,329348886632.31793,NA,3,3,-0.492008
MOZ,508,Mozambique,541,2.7056973,63.011,32656246,Africa,0.599,35.0536638047945,64.9463361952055,NA,NA,NA,61.6778205151772,8.77717781,0.49,15.1949952639736,9.52563518496368,24.3719452937331,57.66202708,7,NA,NA,NA,4.133333333333334,NA,0.235,596.058889461466,1476.665602980974,48222355190.68502,40.8,4,4,-1.3208653
OMN,512,Oman,698,2.46074057,77.911,4730226,Asia,0.256,80.0117053152301,19.988294684769897,NA,NA,NA,97.3399963378906,2.9162159,0.846,97.4,NA,NA,72.47676726,5,NA,NA,NA,2.85,NA,0.137,18792.4460565306,39780.2122774985,188169394400.5426,NA,2,2,0.4399615
NAM,516,Namibia,565,4.2423048,64.19,2889662,Africa,0.332,49.5291037671807,50.4708962328193,NA,NA,NA,87.6399993896484,9.29635525,0.649,NA,NA,NA,60.35994599,5,NA,NA,NA,7.35,NA,0.502,3905.551352681636,9953.097524034907,28761087697.49776,NA,NA,2,0.3736395
NRU,520,Nauru,970,15.79036999,61.93,11801,Oceania,NA,100,0,NA,NA,NA,96.5899963378906,18.17031097,0.7,90.7874769938699,NA,90.7874769938699,NA,10,NA,NA,NA,NA,NA,NA,8498.699860124303,12363.645702985274,145903382.9409292,NA,NA,NA,0.9276426
NPL,524,Nepal,790,2.10599875,70.087,29715436,Asia,0.61,66.2992968721053,33.7007031278947,NA,NA,NA,68.7099990844727,6.65589333,0.605,65.4563152377815,62.4446751104251,76.4843061368387,70.04936795,0,NA,NA,NA,6.35,NA,0.497,1113.5546234122344,4763.387510739456,141546136718.5776,24.2,3,3,-0.3755496
NLD,528,Netherlands (the),210,6.92254639,81.61463414634147,17700982,Europe,0.021,94.9856177734136,5.014382226586406,2.339243498817967,1.8832193582325092,0.8176702307259426,NA,10.10068321,0.953,NA,NA,NA,81.12478594,0,4270.053475935829,3377.0053475935824,5306,NA,6.625,0.797,51777.5431588864,71324.03603492769,1262505478021.6064,21.4,NA,1,0.6252295999999999
VUT,548,Vanuatu,935,1.67315841,71.302,313046,Oceania,0.329,22.2541249733107,77.7458750266893,NA,NA,NA,87.9599990844727,4.14742947,0.621,47.3172926942373,41.0215314190184,65.4085841315608,66.3483713,9,NA,NA,NA,NA,NA,0.676,2740.275455306606,3222.835954593459,1008895904.241664,24.7,NA,NA,0.9784231
NZL,554,New Zealand,920,8.14682388,81.95853658536585,5081700,Oceania,0.008,83.8547305017812,16.145269498218795,2.411764705882353,2.069701280227596,0.9752421959095802,NA,10.02858067,0.933,NA,NA,NA,82.20149177,0,NA,NA,6851,NA,8.241666666666667,0.823,42965.27497547346,49964.17655231583,253902955985.9033,NA,NA,1,1.2327589
NIC,558,Nicaragua,93,5.15924931,74.463,6730654,Americas,0.934,58.9954376220703,41.0045623779297,2.1215370866845396,1.932218309859155,0.4230769230769231,NA,8.95364857,0.701,NA,NA,NA,75.02796138,2,NA,NA,NA,3.2,NA,0.027,2175.738991444051,7277.822648045615,48984506117.35881,NA,3,3,-0.16846029999999998
NER,562,Niger (the),436,1.53595936,60.398,25311973,Africa,0.58,17.477207007512,82.52279299248801,NA,NA,NA,35.6100006103516,4.35259724,0.414,20.8165385257697,18.9651871131655,29.9238238585344,59.97070525,6,NA,NA,NA,6,NA,0.386,566.7979629838662,1717.5189145768409,43473792392.7583,27.8,4,3,-1.299076
NGA,566,Nigeria,475,0.61939389,54.079,223150896,Africa,0.929,61.3727650622225,38.6272349377775,NA,NA,NA,63.1599998474121,4.27090406,0.557,31.0788290048062,22.8834819840938,38.1958763439829,63.3974984,5,NA,NA,1024.7011952191228,4.2,NA,0.318,2254.290804168922,7752.262065320087,1729924225902.988,26.3,3,4,-1.9526169
NOR,578,Norway,385,6.80973244,82.50975609756098,5457127,Europe,0.011,82.9563661816034,17.0436338183966,NA,NA,NA,NA,7.94803333,0.967,NA,NA,NA,82.88199872,0,NA,NA,3249,NA,8.908333333333333,0.834,79620.16354550788,91051.0831968407,496877324492.7257,22,NA,1,0.9197731
FSM,583,Micronesia (Federated States of),987,1.12128794,66.961,112114,Oceania,NA,22.4122701819053,77.5877298180947,NA,NA,NA,NA,10.34470272,0.614,NA,NA,NA,65.70956674,4,NA,NA,NA,NA,NA,NA,2923.259151600412,3814.990764868233,427713874.61243707,NA,NA,NA,1.5042238000000001
PLW,585,Palau,986,5.79643393,68.922,17759,Oceania,NA,79.1134831712956,20.8865168287044,NA,NA,NA,100,14.28555965,0.786,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,12820.376520908903,16040.90805646815,284870486.17481786,NA,NA,NA,1.2446282
PAK,586,Pakistan,770,1.10801363,67.417,243700667,Asia,0.899,38.3740439760816,61.6259560239184,NA,NA,NA,58.8600006103516,2.90434051,0.544,84.6913149772191,80.2071263447224,92.0917485666748,65.99092295,5,NA,NA,NA,3.65,NA,0.234,1642.280669748258,5526.279283102131,1346757947320.271,NA,3,3,-1.7555938
PAN,591,Panama,95,4.75772953,79.324,4400773,Americas,0.473,65.8211343914956,34.178865608504395,NA,NA,NA,96.1092282909577,8.46561432,0.835,NA,NA,NA,77.23869904,2,NA,NA,NA,6.75,NA,0.563,15956.065393205889,33915.15260666737,149252887882.30136,36.9,NA,NA,0.428471
PNG,598,Papua New Guinea,910,1.53210604,65.274,10203169,Oceania,0.729,14.7358658260841,85.2641341739159,NA,NA,NA,87.144148905762,2.61825109,0.572,35.3257608957328,30.7635216186343,64.3538463416802,65.48786529,10,NA,NA,NA,5.116666666666666,NA,0.37,2467.234887908768,4125.493033652014,42093102630.67419,NA,3,3,-0.6856785
PRY,600,Paraguay,150,4.08453465,72.319,6760464,Americas,0.776,68.6396537819458,31.360346218054204,NA,NA,NA,94.8600006103516,7.73804235,0.747,80.1530636026409,71.9936072473104,85.1152909622889,70.27080999,2,NA,NA,NA,6.55,NA,0.432,6218.197906941617,15259.14563118617,103158904710.39136,34.2,NA,2,-0.06590739999999999
PER,604,Peru,135,3.91110182,76.834,33475438,Americas,0.618,84.3663554951194,15.633644504880609,NA,NA,NA,93.6600036621094,6.0930872,0.79,NA,67.6772984745739,NA,71.66727055,2,921,1157,1084,5.95,NA,0.634,6667.516956320359,15559.821643644,520871844722.8628,30.7,3,2,-0.6566212
PHL,608,Philippines (the),840,2.32400513,69.472,113964338,Asia,0.817,54.7902343568327,45.2097656431673,2.206761631665053,1.7828824241666663,0.5609394079388539,98.4700012207031,5.15676308,0.714,91.8936481578766,91.6436489021989,92.1647272657642,66.40834182,4,NA,NA,NA,5.3,NA,0.288,3577.70136573244,9457.103954028831,1077772591518.0782,31.6,4,4,-0.8990423999999999
POL,616,Poland,290,4.6841383,77.15609756097562,36821749,Europe,0.137,59.8315488048321,40.1684511951679,NA,NA,NA,NA,6.39626455,0.902,NA,NA,NA,75.4021086,0,1038,985,2700,7.4,4.612500000000001,0.417,17303.644943229963,43405.021579744105,1598248809948.921,23.1,2,2,0.537484
PRT,620,Portugal,235,6.53053427,81.6317073170732,10434332,Europe,0.14,61.1259255772782,38.8740744227218,NA,1.760742144361546,NA,NA,10.46883011,0.883,NA,NA,NA,81.17961003,0,1258.480964559,1572.1235984545,2075,NA,7.558333333333333,0.758,22042.868028364705,41070.861152974016,428547000796.0337,28.8,NA,2,0.8869408999999999
GNB,624,Guinea-Bissau,404,1.09963667,63.605,2105529,Africa,0.817,45.1627159118652,54.8372840881348,NA,NA,NA,63.9300003051758,8.11358356,0.511,19.689092390703,15.7328782517639,24.51646354272,58.62801846,7,NA,NA,NA,5.15,NA,0.148,752.901123263165,2603.24022588591,5481197789.569335,26.1,NA,NA,-0.36025219999999997
TLS,626,Timor-Leste,860,10.30766392,67.368,1369295,Asia,0.255,28.5857292288968,71.4142707711032,NA,NA,NA,72.4700012207031,14.32454681,0.633,28.4075304680198,21.9258336237445,42.6209063790913,67.99671222,0,NA,NA,NA,7.9,NA,0.516,1579.7108527640275,5348.492000649865,7323663354.029857,NA,NA,NA,0.4239118
QAT,634,Qatar,694,1.79268515,81.857,2657333,Asia,0.371,99.243997525719,0.7560024742810043,NA,NA,NA,NA,2.18112326,0.883,100,NA,NA,76.7101384,5,NA,NA,NA,3.95,NA,0.084,64315.63556529518,114740.16518158,304902827362.4635,NA,2,2,0.9163182
ROU,642,Romania,360,4.46498919,75.15365853658537,19048502,Europe,0.318,52.1634832477272,47.8365167522728,NA,NA,NA,99.1600036621094,5.7490139,0.84,NA,NA,NA,72.76430945,0,NA,NA,1406.820670864386,7.65,4.879166666666666,0.536,12076.303381189637,39256.96303758847,747786338935.4299,22.6,NA,2,0.5499041
RUS,643,Russian Federation (the),365,4.88805008,72.54560975609758,144236933,Europe,0.731,74.8544893625017,25.145510637498305,NA,NA,NA,99.9300003051758,6.91986275,0.826,NA,NA,NA,70.017337,0,NA,NA,1049.1807874300275,3.4333333333333336,NA,0.069,10119.0625,38214.49609375,5606591485618.389,26.2,4,5,-0.7409395999999999
RWA,646,Rwanda,517,2.80981302,67.528,13651030,Africa,0.398,27.7806702737761,72.2193297262239,NA,NA,NA,78.7600021362305,7.8792119,0.57,18.405852889661,16.0367092005113,29.4058410141997,67.54213882,8,NA,NA,NA,3.7833333333333337,NA,0.107,948.413686948024,2892.4596494282064,39485053448.13393,33.4,3,3,0.02945689999999999
KNA,659,Saint Kitts and Nevis,60,2.93025994,70.313,46709,Americas,NA,31.6156404983167,68.38435950168329,NA,NA,NA,NA,5.56801701,0.829,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,21050.758653728983,29749.87008648232,1389586681.8695028,NA,NA,NA,0.9177056
LCA,662,Saint Lucia,56,2.13302684,72.67,178781,Americas,NA,29.097678526676,70.90232147332401,NA,NA,NA,NA,5.01938295,0.747,NA,NA,NA,71.1130421,5,NA,NA,NA,NA,NA,NA,11224.289945573844,22962.28181445541,4105219705.0701537,NA,NA,NA,1.0438207
VCT,670,Saint Vincent and the Grenadines,57,3.23636723,71.191,102046,Americas,NA,47.585897833353,52.414102166647,NA,NA,NA,NA,4.68767738,0.794,NA,NA,NA,72.557094180000007,5,NA,NA,NA,NA,NA,NA,8532.738134133895,16835.023514540953,1717946809.564846,NA,NA,NA,1.0438207
SMR,674,San Marino,331,6.55952024,85.708,33755,Europe,NA,97.1141889380465,2.885811061953504,NA,NA,NA,99.9100036621094,7.40650225,0.91,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,51277.34609939169,70887.57389981496,2392810056.988254,NA,NA,NA,1.3786309
STP,678,Sao Tome and Principe,403,4.12469578,69.237,226305,Africa,0.279,68.3720919798341,31.627908020165904,NA,NA,NA,87.4400024414062,7.46419811,0.636,58.0579051613532,43.1064845052601,62.84303327001,71.17810896,7,NA,NA,NA,NA,NA,0.565,1403.233567046782,5632.138907150473,1274581195.3826878,NA,NA,NA,0.4930734
SAU,682,Saudi Arabia,670,3.61828327,77.31,32175224,Asia,0.326,84.1349430023993,15.865056997600703,NA,NA,NA,97.9300003051758,4.62462378,0.893,98.4207338592241,96.5664072592707,98.7549453987814,76.42921259,0,NA,NA,NA,2.7333333333333334,NA,0.047,26706.91792606596,67178.59022749063,2161486188573.7217,NA,4,3,-0.3617761
SEN,686,Senegal,433,0.89601612,67.788,17651103,Africa,0.35,53.4435061024348,46.5564938975652,NA,NA,NA,50.3600006103516,4.06358385,0.526,25.450619790868,17.1554080149103,34.0547538293895,67.79198263,6,NA,NA,NA,6.9,NA,0.539,1433.1991875240983,4228.733826429741,74641816329.8955,28.8,3,3,-0.2028622
SRB,688,Serbia,NA,5.95365191,75.23658536585367,6664449,Europe,0.69,61.9013813540396,38.0986186459604,NA,NA,NA,99.3399963378906,9.65742779,0.826,NA,NA,NA,72.80891574,0,NA,NA,NA,6.05,NA,0.26,7862.953873648459,24651.886187140924,164291238248.00516,24.7,2,2,-0.0525867
SYC,690,Seychelles,591,3.13010931,73.70243902439026,119878,Africa,0.067,44.9108209981157,55.0891790018843,NA,NA,NA,NA,4.2375164,0.836,NA,NA,NA,74.01196664,5,NA,NA,NA,NA,NA,0.665,15869.673878250356,27978.177055093693,3353967909.010522,NA,NA,NA,0.8411889
SLE,694,Sierra Leone,451,1.51291788,61.275,8276807,Africa,0.467,44.2666343543487,55.7333656456513,NA,NA,NA,43.5800018310547,7.94752312,0.463,17.8365825600238,15.2939188941975,21.0949816371366,61.0228635,5,NA,NA,NA,5.85,NA,0.435,1077.088845385072,2934.7332643043496,24290220825.12709,NA,NA,2,-0.26542689999999997
SGP,702,Singapore,830,2.77292442,82.89512195121952,5637022,Asia,0.007,100,0,2.227080309629569,1.7689972548367503,0.8700436383117639,97.6500015258789,4.89702511,0.942,NA,NA,NA,83.85708962,5,NA,NA,2206,5.466666666666667,NA,0.324,68218.80533356198,133571.9624103219,752948090690.1576,NA,2,1,1.164789
SVK,703,Slovakia,317,6.17515564,76.96585365853659,5431752,Europe,0.204,53.1902831072528,46.8097168927472,2.167190317728807,1.7198102578706416,0.7791320426351475,NA,7.73064041,0.873,NA,NA,NA,74.50941328,0,NA,NA,NA,8.6,6.683333333333334,0.762,18964.82984006236,38664.90769498511,210018189702.05075,18.2,NA,1,0.5294743
VNM,704,Viet Nam,816,2.00186634,74.502,99680655,Asia,0.481,37.5478515625,62.4521484375,1.8341666666666667,1.9008333333333336,0.6508108108108108,96.129997253418,4.58891582,0.764,88.7117762695206,84.6247573518035,95.167546944225,73.7965773,6,NA,NA,NA,3.6333333333333337,NA,0.109,3617.663114650119,12979.763904993424,1293831367795.1023,28.1,3,3,0.1227944
SVN,705,Slovenia,349,7.05512381,81.28292682926829,2112076,Europe,0.099,55.3377817873563,44.6622182126437,NA,NA,NA,NA,9.60507679,0.926,NA,NA,NA,80.41495666,0,NA,NA,NA,8.95,6.741666666666666,0.73,25275.71596775705,47050.06764416416,99373318669.61565,20.7,NA,1,0.7749516
SOM,706,Somalia,520,0.17265649,53.931,17801897,Africa,0.905,53.5010115886789,46.4989884113211,NA,NA,NA,54.1199989318848,2.62183189,0.385,20.5049903871261,14.9530275317843,26.6848413097496,53.95143945,3,NA,NA,NA,1.6833333333333331,NA,0.116,460.046226685196,1387.5475373219112,24700978342.00832,NA,4,5,NA
